 -------------------------------------------------------------------------------------------------------------------------------------------------
|        Name       |     PdgID    |   Q  |     Mass    |  (c*)Tau/Gamma |  MaxWidth  |        EvtGen        |  PythiaID  |     Antiparticle     |
| Delta0            |         2114 |   0  |   1.232 GeV |        117 MeV |      0     |        Delta0        |    2114    |        Delta~0       |
| N(1675)~0         |        -2116 |   0  |   1.675 GeV |        150 MeV |      0     |        unknown       |      0     |       N(1675)0       |
| N(1675)0          |         2116 |   0  |   1.675 GeV |        150 MeV |      0     |        unknown       |      0     |       N(1675)~0      |
| Delta(1950)~0     |        -2118 |   0  |    1.93 GeV |        280 MeV |      0     |        unknown       |      0     |     Delta(1950)0     |
| Delta(1950)0      |         2118 |   0  |    1.93 GeV |        280 MeV |      0     |        unknown       |      0     |     Delta(1950)~0    |
| Delta(1620)~-     |        -2122 |  -1  |    1.63 GeV |        140 MeV |      0     |        unknown       |      0     |     Delta(1620)+     |
| Delta(1620)+      |         2122 |   1  |    1.63 GeV |        140 MeV |      0     |        unknown       |      0     |     Delta(1620)~-    |
| N(1520)~-         |        -2124 |  -1  |   1.515 GeV |        115 MeV |      0     |        unknown       |      0     |       N(1520)+       |
| N(1520)+          |         2124 |   1  |   1.515 GeV |        115 MeV |      0     |        unknown       |      0     |       N(1520)~-      |
| Delta(1905)~-     |        -2126 |  -1  |    1.88 GeV |        330 MeV |      0     |        unknown       |      0     |     Delta(1905)+     |
| Delta(1905)+      |         2126 |   1  |    1.88 GeV |        330 MeV |      0     |        unknown       |      0     |     Delta(1905)~-    |
| N(2190)~-         |        -2128 |  -1  |    2.19 GeV |        500 MeV |      0     |        unknown       |      0     |       N(2190)+       |
| N(2190)+          |         2128 |   1  |    2.19 GeV |        500 MeV |      0     |        unknown       |      0     |       N(2190)~-      |
| anti-uu_1         |        -2203 | -1.3 |       0 eV  |          0 ns  |      0     |       anti-uu_1      |    -2203   |         uu_1         |
| uu_1              |         2203 |  1.3 |       0 eV  |          0 ns  |      0     |         uu_1         |    2203    |       anti-uu_1      |
| p~-               |        -2212 |  -1  |   938.3 MeV |     stable     |      0     |        anti-p-       |    -2212   |          p+          |
| p+                |         2212 |   1  |   938.3 MeV |     stable     |      0     |          p+          |    2212    |          p~-         |
| Delta~-           |        -2214 |  -1  |   1.232 GeV |        117 MeV |      0     |      anti-Delta-     |    -2214   |        Delta+        |
| Delta+            |         2214 |   1  |   1.232 GeV |        117 MeV |      0     |        Delta+        |    2214    |        Delta~-       |
| N(1675)~-         |        -2216 |  -1  |   1.675 GeV |        150 MeV |      0     |        unknown       |      0     |       N(1675)+       |
| N(1675)+          |         2216 |   1  |   1.675 GeV |        150 MeV |      0     |        unknown       |      0     |       N(1675)~-      |
| Delta(1950)~-     |        -2218 |  -1  |    1.93 GeV |        280 MeV |      0     |        unknown       |      0     |     Delta(1950)+     |
| Delta(1950)+      |         2218 |   1  |    1.93 GeV |        280 MeV |      0     |        unknown       |      0     |     Delta(1950)~-    |
| Delta(1620)~--    |        -2222 |  -2  |    1.63 GeV |        140 MeV |      0     |        unknown       |      0     |     Delta(1620)++    |
| Delta(1620)++     |         2222 |   2  |    1.63 GeV |        140 MeV |      0     |        unknown       |      0     |    Delta(1620)~--    |
| Delta~--          |        -2224 |  -2  |   1.232 GeV |        117 MeV |      0     |     anti-Delta--     |    -2224   |        Delta++       |
| Delta++           |         2224 |   2  |   1.232 GeV |        117 MeV |      0     |        Delta++       |    2224    |       Delta~--       |
| Delta(1905)~--    |        -2226 |  -2  |    1.88 GeV |        330 MeV |      0     |        unknown       |      0     |     Delta(1905)++    |
| Delta(1905)++     |         2226 |   2  |    1.88 GeV |        330 MeV |      0     |        unknown       |      0     |    Delta(1905)~--    |
| Delta(1950)~--    |        -2228 |  -2  |    1.93 GeV |        280 MeV |      0     |        unknown       |      0     |     Delta(1950)++    |
| Delta(1950)++     |         2228 |   2  |    1.93 GeV |        280 MeV |      0     |        unknown       |      0     |    Delta(1950)~--    |
